article_id,author,title,journal,year,ee,mdate,key,publtype,reviewid,rating
0,chendaye666|&|777|Paul|&| Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
1,Paul Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
2,Paul Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
0,chendaye666amp777|Paul amp Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
1,Paul Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
2,Paul Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
0,chendaye666amp777|&|Paul amp Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
1,Paul Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
2,Paul Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
0,chendaye666amp|Paul amp Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
1,Paul Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
2,Paul Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
0,chendaye666amp|Paul amp Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
1,Paul Kocher|Daniel Genkin|Daniel Gruss|Werner Haas 0004|Mike Hamburg|Moritz Lipp|Stefan Mangard|Thomas Prescher 0002|Michael Schwarz 0001|Yuval Yarom,Spectre Attacks: Exploiting Speculative Execution.,meltdownattack.com,2018,https://spectreattack.com/spectre.pdf,2020-06-25,tr/meltdown/s18,informal,,
