1114924	7
718915	10
45198	6
1794966	8
1134715	6
677569	7
490179	14
1284324	9
1727346	6
304565	8
1517574	6
1074144	6
1793539	22
776714	8
657329	9
1379757	10
594356	6
1614739	7
849239	7
463252	7
856496	6
1137777	11
1189865	6
791915	6
520977	6
810820	7
1435306	7
1642828	15
1270875	6
76903	15
1709685	14
1829605	13
1084441	15
584207	8
1010599	14
995562	7
1905793	17
1179025	47
566467	12
1137109	11
388650	11
848772	9
511092	6
706524	10
87431	12
1410976	9
1897722	22
1729962	7
725672	6
1908171	6
9470	7
1292367	7
710704	13
1676117	11
595072	6
1483476	14
1257652	7
1472506	10
972951	7
951339	8
989436	7
60405	16
716931	9
871785	6
17944	7
1021348	6
1465331	7
56184	7
203352	10
1620926	7
387658	6
718433	10
1376476	14
1883548	17
716655	6
167749	6
1228396	6
1199827	7
1242432	11
336006	6
600318	6
1734174	17
87246	7
422287	6
888516	6
1973273	6
42890	12
505912	8
545920	7
1254482	10
1025501	8
1678276	6
143711	7
1610554	7
1309149	6
1203154	6
1560511	6
1477836	11
753570	10
1835267	6
798040	10
924324	8
604496	6
870797	6
718009	6
696561	10
1882506	8
1801689	10
414519	7
1721890	6
674649	6
1510183	7
997139	10
1845961	8
712712	8
932357	20
1960824	6
810489	7
1471675	12
525210	8
1411820	8
1012723	7
1029943	13
1724979	15
347076	13
1601368	6
1281854	6
519406	6
1393080	11
1657489	7
854592	7
649199	7
1358378	7
1588287	8
1557712	6
1002453	70
954534	8
435657	9
34154	10
1094017	7
1698938	7
1583593	7
1276598	10
794535	23
200413	8
678197	6
1811546	8
1118158	7
1174975	6
1768130	23
1402743	12
102426	9
1017961	8
393293	6
826254	6
340875	9
1988329	15
1192165	7
823770	10
988835	9
109581	8
554930	6
891278	11
822754	6
45208	7
186803	10
1056629	6
395885	6
828805	7
1586718	18
1059967	8
1446140	8
109628	6
1395294	12
825382	8
1496205	6
1456760	6
1465955	6
450654	7
1384711	8
249679	6
183251	6
368772	8
946472	8
814864	6
1375422	9
1635700	13
964792	15
741804	10
264024	11
643841	10
868493	9
354818	6
1542762	8
1027706	7
1292976	6
165993	6
304623	10
126	8
835549	6
478541	6
291270	34
1139833	7
357494	6
1747225	13
827302	13
1186829	7
407314	10
401895	7
1439432	7
1121124	6
1411648	7
1243042	8
187311	6
1503034	7
77488	10
1312029	13
668130	6
653785	10
49286	6
274782	14
1327950	6
1611329	9
47870	6
1233533	6
549579	10
381321	6
1494260	9
1360493	6
1687161	6
1712877	6
44438	20
1896532	6
1434813	12
1238176	8
1798561	10
1552308	6
1614024	8
146361	10
1765430	25
547495	6
686071	7
663334	6
1573441	8
895292	7
375927	7
179420	9
892978	7
638095	94
99426	7
307871	6
667466	6
323126	9
747025	6
897534	8
1211568	31
755205	9
1795093	8
387905	6
843416	8
1441056	10
983465	8
52526	7
1894025	6
796810	7
997726	7
765213	14
101768	7
1751871	20
1737774	6
1705429	7
174379	9
527982	10
934224	22
1087936	6
1636532	11
193263	9
1905336	11
1097818	10
1810550	6
642999	13
82311	6
1019972	6
1053419	6
1974398	11
631434	11
638323	6
825567	9
1929307	24
447317	10
645140	20
833997	6
386365	11
688691	7
1956636	6
1173084	8
732783	7
143525	6
472474	8
46435	7
